customer_id,customer_name,email,phone,signup_date,billing_address,shipping_address,customer_type
CUST00001,Veronica Coffey,karenperez@example.net,+1-751-660-4817,2024-01-30,"37098 Herman Forges Apt. 746, East Brandonton, ME 65070","267 Santiago Summit, Matthewsberg, FM 54880",returning
CUST00002,Jacob Ramos,basschristina@example.com,551.358.5064,2024-09-11,"USCGC Davis, FPO AE 84610","53293 Maria Plaza, New Jason, VI 31040",new
CUST00003,Brianna Anderson,kristinacarlson@example.com,621-202-0539x502,2024-05-07,"117 Strickland Passage Apt. 783, Lake Kristahaven, ME 60537","76617 Jones Common, Charleneland, DC 36547",returning
CUST00004,Larry Garcia,oscar98@example.com,001-318-736-7365x766,2024-08-30,"2711 Christopher Court Suite 280, Elizabethchester, MI 87708","USCGC Parrish, FPO AP 07244",returning
CUST00005,John Boone,michael98@example.org,(285)614-9368x998,2024-04-21,"455 Howard Divide Suite 120, Lake Alyssafurt, MT 59961","5991 Eric Throughway Apt. 147, Tuckermouth, MT 36305",returning
CUST00006,Ashley Jordan,michael98@example.org,597-484-0369x0034,2024-03-24,"1076 David Place Apt. 885, South Michelleton, NE 02957","9696 Roberts Lodge, West Georgemouth, MP 90889",returning
CUST00007,Kelly Foster,kimdaniel@example.com,453-552-1818x8355,2024-05-20,"29212 Marshall Port Suite 995, Edwardland, NJ 58462","058 Lance Mission Apt. 054, Lake Michelleland, RI 78368",returning
CUST00008,Joanna Pacheco,jford@example.net,+1-435-297-8207x1518,2024-07-15,"8892 Watson Haven Suite 659, Port Crystalmouth, CA 43714","4925 Brandi Divide Suite 462, West Angelicamouth, GU 17251",returning
CUST00009,Eric Bean,lucasrodney@example.com,473-832-2141x88805,2024-09-17,"927 Robert Springs, South Cheryl, WV 98613","347 Micheal Ports, Murrayport, WI 50553",new
CUST00010,David Davidson,mburch@example.net,(881)381-4124x782,2024-07-14,"USNS Velasquez, FPO AA 03996","536 Nicholas Burgs Suite 152, North Justin, MP 62426",returning
CUST00011,Bobby Scott,katherineharrison@example.net,(389)286-1434,2024-09-27,"17980 Jennifer Highway Suite 095, New Robert, TN 88085","88888 Peter Mountains Apt. 654, West Kristinastad, IA 96569",new
CUST00012,Harold Morgan,ingramjill@example.com,+1-227-772-2170x4303,2024-09-12,"USCGC Hays, FPO AP 62550","5054 Lauren Mews, Paulfurt, MA 24987",new
CUST00013,Bradley Coleman,zrichardson@example.net,(492)984-5115x44796,2024-07-11,"596 Fowler Turnpike, North Emilyfurt, MN 67752","29702 Joel Rue, Michaelshire, AZ 79811",returning
CUST00014,Laura Moreno,xrush@example.com,(654)931-0278x6814,2024-02-29,"731 Melissa Mission Apt. 715, Jennaside, ND 38559","258 David Flats, East Kristy, AK 47804",returning
CUST00015,Ana Sanders,tanner82@example.net,001-778-466-9125x177,2024-08-03,"68018 Kevin Estates, Sarahbury, MI 68513","PSC 1438, Box 4249, APO AP 12746",returning
CUST00016,Michelle Jacobs,brittanycarpenter@example.org,001-800-210-9439,2024-07-14,"473 Evans Cliffs Apt. 276, Marshallmouth, PA 19331","562 Robertson Coves Suite 371, Shannonberg, CT 07133",returning
CUST00017,Stephanie Li,alin@example.org,001-953-227-8774,2024-04-22,"733 Williams Haven Suite 974, Port Danielberg, FM 35165","0609 Michael Heights Apt. 687, Marciaville, DC 13173",returning
CUST00018,Christina Hicks,laura58@example.com,700.402.5787x29825,2024-06-01,"588 Erickson Hills Suite 055, South Brandytown, PA 62706","097 Alexandria Stravenue, Hernandezbury, AZ 75548",returning
CUST00019,Michael Jenkins,leescott@example.com,001-997-702-8385x78652,2024-09-29,"733 Grant Fork Suite 437, Timothyside, WY 95090","866 Blevins Unions, West Bobby, VT 10859",new
CUST00020,Ronald Nelson,vdouglas@example.com,+1-542-519-9330,2024-05-14,"7120 Richard Wells Suite 734, Justinton, PW 12226","026 Sarah Camp, Frenchburgh, WA 38442",returning
