transaction_id,customer_id,product_id,order_date,order_time,amount,quantity,payment_method,shipping_address,billing_address,acquisition_channel,is_fraud,chargeback_date,device_type,ip_address,is_weekend,is_high_value,signup_date,days_since_signup,is_new_customer,shipping_billing_mismatch,fraud_prediction
TXN000001,CUST06253,PROD0015,2024-10-01,17:54:00,1065.72,3,Debit Card,"5921 Austin Mountains Suite 050, South Rachelville, OR 79116","706 Katherine Knoll Suite 686, North Michelle, VI 65774",Email,False,,Desktop,33.26.56.51,0,1,2024-03-02,213,0,1,1
TXN000002,CUST03118,PROD0398,2024-10-01,09:47:00,362.46,3,Debit Card,"676 Gregory Neck, North Michael, TN 87891","7785 Christian Roads Apt. 866, Phillipsshire, WY 83508",Paid Search,False,,Tablet,133.127.49.105,0,0,2024-05-09,145,0,1,0
TXN000003,CUST08314,PROD0081,2024-10-01,16:37:00,921.0,2,Credit Card,"Unit 5612 Box 3431, DPO AE 68035","1335 Stephen Place Suite 853, North Angelaville, MN 28171",Paid Search,False,,Mobile,46.147.13.142,0,1,2024-03-02,213,0,1,0
TXN000004,CUST06010,PROD0217,2024-10-01,09:28:00,843.6,3,Apple Pay,"4765 Arnold Views Suite 405, East Diane, VT 38263","098 Herrera River Apt. 421, North Jessicamouth, AL 50699",Organic,False,,Mobile,156.231.37.185,0,1,2024-02-22,222,0,1,0
TXN000005,CUST06709,PROD0222,2024-10-01,11:57:00,1095.15,3,Apple Pay,"USNV Medina, FPO AE 20788","055 Tamara Overpass, Port Anthonymouth, PR 29994",Organic,True,2024-11-20,Desktop,23.69.78.47,0,1,2024-01-12,263,0,1,1
TXN000006,CUST08850,PROD0060,2024-10-01,15:31:00,229.96,2,PayPal,"PSC 4209, Box 8550, APO AP 22343","USS Skinner, FPO AP 71041",Email,False,,Tablet,177.87.89.219,0,0,2024-07-22,71,0,1,0
TXN000007,CUST09911,PROD0373,2024-10-01,20:21:00,62.5,2,Apple Pay,"563 Hector Groves, East Daniel, NM 11058","5322 Robert Pine, West Patrickhaven, GU 13601",Social,False,,Desktop,47.203.148.67,0,0,2024-02-22,222,0,1,0
TXN000008,CUST04459,PROD0092,2024-10-01,14:32:00,498.09,1,Apple Pay,"PSC 4450, Box 6295, APO AE 99532","5249 Charles Forest Suite 295, New Jennifer, NE 01651",Paid Search,False,,Tablet,202.46.172.191,0,0,2024-04-25,159,0,1,0
TXN000009,CUST09603,PROD0073,2024-10-01,06:21:00,867.36,2,Debit Card,"76344 Holly Island, New Melissachester, NY 81243","234 House Stravenue Apt. 001, Brookemouth, OR 59534",Organic,False,,Desktop,154.89.153.84,0,1,2024-07-29,64,0,1,0
TXN000010,CUST05822,PROD0107,2024-10-01,16:20:00,64.82,1,Debit Card,"8891 Preston Square, Lake Jeremyland, RI 83821","72299 Flores Lane, Crossport, DC 44492",Social,False,,Tablet,153.89.183.81,0,0,2024-09-25,6,1,1,0
TXN000011,CUST04445,PROD0421,2024-10-01,07:49:00,765.39,3,Debit Card,"4249 Gonzales Mount Suite 225, South Laura, NM 74428","038 Jones Dale Suite 263, West Amandamouth, WA 85338",Organic,False,,Mobile,85.197.104.99,0,1,2024-02-26,218,0,1,0
TXN000012,CUST00221,PROD0304,2024-10-01,21:50:00,375.12,3,PayPal,"PSC 2542, Box 7820, APO AA 81321","559 Barrett Bypass Suite 150, South Thomas, MA 85420",Organic,False,,Mobile,175.253.82.170,0,0,2024-03-01,214,0,1,0
TXN000013,CUST01034,PROD0363,2024-10-01,06:46:00,341.98,2,PayPal,"6594 Donna Walk Suite 849, Terryborough, UT 23886","624 Rogers Mills Suite 300, New Amy, NY 84010",Email,False,,Mobile,220.250.133.25,0,0,2024-06-23,100,0,1,0
TXN000014,CUST07477,PROD0164,2024-10-01,07:48:00,148.44,3,PayPal,"USS Olson, FPO AP 27561","19569 Jackson Field, Porterland, AZ 59549",Email,False,,Tablet,179.169.49.253,0,0,2024-05-04,150,0,1,0
TXN000015,CUST03480,PROD0236,2024-10-01,13:01:00,120.59,1,PayPal,"USNV Floyd, FPO AP 93301","206 Joshua Landing Suite 916, North Charlesbury, MA 33936",Social,False,,Mobile,187.217.204.63,0,0,2024-01-30,245,0,1,0
TXN000016,CUST09565,PROD0160,2024-10-01,15:20:00,230.53,1,Apple Pay,"170 Cynthia Mount, Benjaminville, SD 21125","3251 Mary Ramp Suite 002, Port Faithside, NY 31192",Organic,False,,Mobile,109.217.180.156,0,0,2024-06-13,110,0,1,0
TXN000017,CUST09585,PROD0031,2024-10-01,11:46:00,54.55,1,Credit Card,"94777 Max Coves Suite 443, North Kyle, CO 16473","20697 Copeland Summit, Sarahville, ND 65242",Email,False,,Tablet,106.128.96.133,0,0,2024-01-27,248,0,1,0
TXN000018,CUST05780,PROD0057,2024-10-01,15:31:00,27.04,2,Credit Card,"61134 Christopher Squares Apt. 406, Heatherport, GU 86873","USNS Kennedy, FPO AE 77160",Email,False,,Desktop,183.162.178.55,0,0,2024-03-12,203,0,1,0
TXN000019,CUST02373,PROD0371,2024-10-01,07:23:00,391.23,1,Debit Card,"23839 Linda Avenue Apt. 461, West Jenniferton, MI 27777","61820 Amanda Crossroad Suite 277, Estesland, CT 61888",Email,False,,Tablet,94.249.3.74,0,0,2024-09-23,8,1,1,0
TXN000020,CUST03971,PROD0008,2024-10-01,10:26:00,352.09,1,Debit Card,"826 Valdez Branch, West Isabella, IN 12681","809 Pham Flat, Port Brian, NH 20048",Social,False,,Tablet,109.183.230.154,0,0,2024-08-08,54,0,1,0
TXN000021,CUST00131,PROD0295,2024-10-01,19:34:00,483.02,1,Credit Card,"4550 Kemp Walk, Lake Brentmouth, AS 60418","4338 Yvette Knolls Suite 522, Port Brycechester, DE 81446",Social,False,,Desktop,98.27.67.252,0,0,2024-05-31,123,0,1,0
TXN000022,CUST09629,PROD0180,2024-10-01,13:47:00,137.48,1,Debit Card,"04240 Hunter Summit, Robinhaven, HI 36179","54571 Myers Square Apt. 497, Lake Julie, FL 90948",Email,False,,Desktop,220.48.199.251,0,0,2024-06-22,101,0,1,0
TXN000023,CUST07036,PROD0427,2024-10-01,07:21:00,188.44,2,PayPal,"752 Soto Causeway Suite 838, West Jerryborough, MO 67697","289 Eric Way, Amberview, WV 63296",Social,False,,Tablet,177.166.7.76,0,0,2024-02-18,226,0,1,0
TXN000024,CUST00092,PROD0383,2024-10-01,12:41:00,1089.63,3,Credit Card,"448 John Summit, Gallegosmouth, TN 87685","772 Jeanette Fields Apt. 107, Lake Melaniechester, MT 06463",Email,False,,Tablet,5.77.222.173,0,1,2024-05-07,147,0,1,0
TXN000025,CUST07827,PROD0213,2024-10-01,13:01:00,282.04,1,Apple Pay,"24351 Andres Trail, Grimeston, OK 38834","75800 Diaz Oval Suite 326, Gloriaburgh, MN 91020",Social,False,,Mobile,35.76.74.82,0,0,2024-08-15,47,0,1,0
TXN000026,CUST02297,PROD0412,2024-10-01,11:04:00,922.41,3,Debit Card,"2452 Jonathan Views Apt. 447, East Maryville, SD 62326","3985 Decker Curve Suite 260, Rodneyview, DE 73439",Paid Search,False,,Tablet,178.45.170.217,0,1,2024-04-15,169,0,1,0
